1	179017
2	177608
3	178036
4	178274
5	178129
6	178114
7	178344
8	178505
9	178177
10	178803
11	179092
12	178425
13	178136
14	178521
15	178340
16	178540
17	177532
18	178187
19	178430
20	177750
21	177946
22	178647
23	179037
24	178305
25	178708
26	178252
27	178793
28	178231
29	177757
30	177834
31	178429
32	177840
33	178158
34	178103
35	178319
36	177847
37	177963
38	178878
39	177692
40	178093
41	178042
42	177848
43	178310
44	178212
45	177977
46	178211
47	177942
48	177616
49	178398
50	178237
51	178038
52	178238
53	178906
54	178158
55	178596
56	178036
57	178349
58	177757
59	178340
60	178192
61	177679
62	178348
63	177869
64	178542
65	178061
66	178057
67	177762
68	178829
69	178556
70	177855
71	178351
72	178149
73	177363
74	177919
75	178123
76	177604
77	177884
78	178752
79	178610
80	178500
81	178477
82	177965
83	177923
84	178242
85	178230
86	178194
87	178337
88	178085
89	178312
90	178127
91	177358
92	178308
93	178569
94	177899
95	177622
96	178754
97	178677
98	177970
99	178236
100	177738
